round,regime,p,sanction,expected_penalty,tender_id,honest_winner,final_winner,corrupt_candidate,corruption_attempted,corruption_accepted,award_distorted,honest_public_value,final_public_value,corruption_loss,candidate_propensity_before,candidate_propensity_after,candidate_failure_lambda
1,Pre-reform,0.1,100,10.0,32,T032_F3,T032_F2,T032_F2,True,True,True,74.54497069480155,61.40031811281584,13.14465258198571,0.5,0.625,0.19190380761523046
1,Pre-reform,0.1,100,10.0,33,T033_F2,T033_F5,T033_F5,True,True,True,77.82234670653645,54.16343798804815,23.6589087184883,0.5,0.625,0.19559118236472944
1,Pre-reform,0.1,100,10.0,34,T034_F1,T034_F4,T034_F4,True,True,True,84.43377593178431,60.3024550146361,24.13132091714821,0.5,0.625,0.19743486973947894
1,Pre-reform,0.1,100,10.0,35,T035_F4,T035_F3,T035_F3,True,True,True,77.14910653908271,49.204988290667686,27.944118248415023,0.5,0.625,0.19927855711422846
1,Pre-reform,0.1,100,10.0,36,T036_F2,T036_F4,T036_F4,True,True,True,81.2052119970722,67.87072232210002,13.334489674972176,0.5,0.625,0.2020440881763527
1,Pre-reform,0.1,100,10.0,37,T037_F2,T037_F1,T037_F1,True,True,True,72.78294210079972,43.35403248565519,29.428909615144526,0.5,0.625,0.20296593186372744
1,Pre-reform,0.1,100,10.0,38,T038_F1,T038_F3,T038_F3,True,True,True,83.61265952099836,57.943360216711255,25.669299304287108,0.5,0.625,0.20619238476953905
1,Pre-reform,0.1,100,10.0,39,T039_F3,T039_F2,T039_F2,True,True,True,77.37312652706532,46.71345824627397,30.65966828079135,0.5,0.625,0.20803607214428857
1,Pre-reform,0.1,100,10.0,40,T040_F1,T040_F2,T040_F2,True,True,True,78.68123050235555,59.073238424262,19.607992078093545,0.5,0.625,0.21034068136272543
1,Pre-reform,0.1,100,10.0,41,T041_F2,T041_F4,T041_F4,True,True,True,80.16865983424192,47.494814546757425,32.6738452874845,0.5,0.625,0.21356713426853707
1,Pre-reform,0.1,100,10.0,42,T042_F1,T042_F3,T042_F3,True,True,True,77.03087365812159,52.53819287624181,24.492680781879784,0.5,0.625,0.21541082164328657
1,Pre-reform,0.1,100,10.0,43,T043_F1,T043_F4,T043_F4,True,True,True,85.48018790746106,57.11254516957986,28.367642737881198,0.5,0.625,0.2181763527054108
1,Pre-reform,0.1,100,10.0,44,T044_F2,T044_F4,T044_F4,True,True,True,89.02329242818632,53.34628950279322,35.677002925393104,0.5,0.625,0.2204809619238477
1,Pre-reform,0.1,100,10.0,45,T045_F3,T045_F1,T045_F1,True,True,True,76.72141027919224,63.31621982850028,13.405190450691961,0.5,0.625,0.22140280561122244
1,Pre-reform,0.1,100,10.0,46,T046_F3,T046_F2,T046_F2,True,True,True,72.7923121312794,60.3348497684823,12.457462362797102,0.5,0.625,0.22416833667334668
1,Pre-reform,0.1,100,10.0,47,T047_F1,T047_F5,T047_F5,True,True,True,86.59938183477414,58.44849613281127,28.150885701962864,0.5,0.625,0.22785571142284566
1,Pre-reform,0.1,100,10.0,48,T048_F1,T048_F3,T048_F3,True,True,True,80.29727562802582,55.065336869440415,25.2319387585854,0.5,0.625,0.2292384769539078
1,Pre-reform,0.1,100,10.0,49,T049_F4,T049_F2,T049_F2,True,True,True,82.71068729135618,64.21992924569221,18.490758045663966,0.5,0.625,0.2310821643286573
1,Pre-reform,0.1,100,10.0,50,T050_F2,T050_F1,T050_F1,True,True,True,87.52994036725396,63.64876314541906,23.881177221834896,0.5,0.625,0.2329258517034068
1,Pre-reform,0.1,100,10.0,51,T051_F1,T051_F3,T051_F3,True,True,True,76.59076779951774,56.01819811553487,20.572569683982863,0.5,0.625,0.23615230460921843
1,Pre-reform,0.1,100,10.0,52,T052_F5,T052_F1,T052_F1,True,True,True,80.7166455004702,65.87008453852948,14.84656096194071,0.5,0.625,0.23753507014028055
1,Pre-reform,0.1,100,10.0,53,T053_F1,T053_F5,T053_F5,True,True,True,81.52183866401295,49.55789283317611,31.963945830836835,0.5,0.625,0.2416833667334669
1,Pre-reform,0.1,100,10.0,54,T054_F3,T054_F1,T054_F1,True,True,True,83.24571633639303,51.97368595340683,31.272030382986202,0.5,0.625,0.2421442885771543
1,Pre-reform,0.1,100,10.0,55,T055_F5,T055_F2,T055_F2,True,True,True,92.80779288328588,60.5441605794242,32.263632303861684,0.5,0.625,0.24490981963927855
1,Pre-reform,0.1,100,10.0,56,T056_F4,T056_F3,T056_F3,True,True,True,81.70727611952067,45.815913426753696,35.891362692766975,0.5,0.625,0.24767535070140279
1,Pre-reform,0.1,100,10.0,57,T057_F4,T057_F1,T057_F1,True,True,True,92.02099955674746,56.75476026950566,35.266239287241795,0.5,0.625,0.24905811623246493
1,Pre-reform,0.1,100,10.0,58,T058_F4,T058_F3,T058_F3,True,True,True,76.30208923616334,52.52154549695125,23.780543739212092,0.5,0.625,0.25228456913827657
1,Pre-reform,0.1,100,10.0,59,T059_F1,T059_F3,T059_F3,True,True,True,89.78676706960766,45.40618348159776,44.380583588009905,0.5,0.625,0.2545891783567134
1,Pre-reform,0.1,100,10.0,60,T060_F3,T060_F4,T060_F4,True,True,True,82.39069457984681,70.1884136367576,12.202280943089207,0.5,0.625,0.25735470941883765
1,Pre-reform,0.1,100,10.0,61,T061_F2,T061_F1,T061_F1,True,True,True,74.87572723905227,59.00757322599641,15.868154013055857,0.5,0.625,0.25827655310621245
1,Pre-reform,0.1,100,10.0,62,T062_F2,T062_F3,T062_F3,True,True,True,81.02266629407907,43.433803900943104,37.58886239313597,0.5,0.625,0.26150300601202403
1,Pre-reform,0.1,100,10.0,63,T063_F4,T063_F3,T063_F3,True,True,True,73.3040147643569,58.58324152113656,14.720773243220336,0.5,0.625,0.2638076152304609
1,Pre-reform,0.1,100,10.0,64,T064_F1,T064_F2,T064_F2,True,True,True,72.28886050715512,50.81890923534515,21.46995127180997,0.5,0.625,0.2656513026052104
1,Pre-reform,0.1,100,10.0,65,T065_F5,T065_F2,T065_F2,True,True,True,79.22487282621375,61.22997431103253,17.994898515181227,0.5,0.625,0.2679559118236473
1,Pre-reform,0.1,100,10.0,66,T066_F3,T066_F2,T066_F2,True,True,True,81.67886617493932,61.52190955855071,20.156956616388605,0.5,0.625,0.27026052104208415
1,Pre-reform,0.1,100,10.0,67,T067_F5,T067_F4,T067_F4,True,True,True,88.09059029276526,66.0898010119391,22.000789280826154,0.5,0.625,0.2734869739478958
1,Pre-reform,0.1,100,10.0,68,T068_F1,T068_F2,T068_F2,True,True,True,83.87575536115797,56.52298729962502,27.35276806153295,0.5,0.625,0.2748697394789579
1,Pre-reform,0.1,100,10.0,69,T069_F4,T069_F1,T069_F1,True,True,True,83.82447404478492,58.610971711685565,25.213502333099356,0.5,0.625,0.27671342685370737
