p,firm_penalty,firm_honest_payoff,firm_bribe_payoff,firm_prefers_bribe
0.01,355,30.0,66.45,True
0.01,360,30.0,66.4,True
0.01,365,30.0,66.35,True
0.01,370,30.0,66.3,True
0.01,375,30.0,66.25,True
0.01,380,30.0,66.2,True
0.01,385,30.0,66.15,True
0.01,390,30.0,66.1,True
0.01,395,30.0,66.05,True
0.01,400,30.0,66.0,True
0.01,405,30.0,65.95,True
0.01,410,30.0,65.9,True
0.01,415,30.0,65.85,True
0.01,420,30.0,65.8,True
0.01,425,30.0,65.75,True
0.01,430,30.0,65.7,True
0.01,435,30.0,65.65,True
0.01,440,30.0,65.6,True
0.01,445,30.0,65.55,True
0.01,450,30.0,65.5,True
0.01,455,30.0,65.45,True
0.01,460,30.0,65.4,True
0.01,465,30.0,65.35,True
0.01,470,30.0,65.3,True
0.01,475,30.0,65.25,True
0.01,480,30.0,65.2,True
0.01,485,30.0,65.15,True
0.01,490,30.0,65.1,True
0.01,495,30.0,65.05,True
0.01,500,30.0,65.0,True
0.02,0,30.0,70.0,True
0.02,5,30.0,69.9,True
0.02,10,30.0,69.8,True
0.02,15,30.0,69.7,True
0.02,20,30.0,69.6,True
0.02,25,30.0,69.5,True
0.02,30,30.0,69.4,True
0.02,35,30.0,69.3,True
0.02,40,30.0,69.2,True
0.02,45,30.0,69.1,True
0.02,50,30.0,69.0,True
0.02,55,30.0,68.9,True
0.02,60,30.0,68.8,True
0.02,65,30.0,68.7,True
0.02,70,30.0,68.6,True
0.02,75,30.0,68.5,True
0.02,80,30.0,68.4,True
0.02,85,30.0,68.3,True
0.02,90,30.0,68.2,True
0.02,95,30.0,68.1,True
0.02,100,30.0,68.0,True
0.02,105,30.0,67.9,True
0.02,110,30.0,67.8,True
0.02,115,30.0,67.7,True
0.02,120,30.0,67.6,True
0.02,125,30.0,67.5,True
0.02,130,30.0,67.4,True
0.02,135,30.0,67.3,True
0.02,140,30.0,67.2,True
0.02,145,30.0,67.1,True
0.02,150,30.0,67.0,True
0.02,155,30.0,66.9,True
0.02,160,30.0,66.8,True
0.02,165,30.0,66.7,True
0.02,170,30.0,66.6,True
0.02,175,30.0,66.5,True
0.02,180,30.0,66.4,True
0.02,185,30.0,66.3,True
0.02,190,30.0,66.2,True
0.02,195,30.0,66.1,True
0.02,200,30.0,66.0,True
0.02,205,30.0,65.9,True
0.02,210,30.0,65.8,True
0.02,215,30.0,65.7,True
0.02,220,30.0,65.6,True
0.02,225,30.0,65.5,True
0.02,230,30.0,65.4,True
0.02,235,30.0,65.3,True
0.02,240,30.0,65.2,True
0.02,245,30.0,65.1,True
0.02,250,30.0,65.0,True
0.02,255,30.0,64.9,True
0.02,260,30.0,64.8,True
0.02,265,30.0,64.7,True
0.02,270,30.0,64.6,True
0.02,275,30.0,64.5,True
0.02,280,30.0,64.4,True
0.02,285,30.0,64.3,True
0.02,290,30.0,64.2,True
0.02,295,30.0,64.1,True
0.02,300,30.0,64.0,True
0.02,305,30.0,63.9,True
0.02,310,30.0,63.8,True
0.02,315,30.0,63.7,True
0.02,320,30.0,63.6,True
0.02,325,30.0,63.5,True
0.02,330,30.0,63.4,True
0.02,335,30.0,63.3,True
0.02,340,30.0,63.2,True
0.02,345,30.0,63.1,True
0.02,350,30.0,63.0,True
0.02,355,30.0,62.9,True
0.02,360,30.0,62.8,True
0.02,365,30.0,62.7,True
0.02,370,30.0,62.6,True
0.02,375,30.0,62.5,True
0.02,380,30.0,62.4,True
0.02,385,30.0,62.3,True
0.02,390,30.0,62.2,True
0.02,395,30.0,62.1,True
0.02,400,30.0,62.0,True
0.02,405,30.0,61.9,True
0.02,410,30.0,61.8,True
0.02,415,30.0,61.7,True
0.02,420,30.0,61.6,True
0.02,425,30.0,61.5,True
0.02,430,30.0,61.4,True
0.02,435,30.0,61.3,True
0.02,440,30.0,61.2,True
0.02,445,30.0,61.1,True
0.02,450,30.0,61.0,True
0.02,455,30.0,60.9,True
0.02,460,30.0,60.8,True
0.02,465,30.0,60.7,True
0.02,470,30.0,60.6,True
0.02,475,30.0,60.5,True
0.02,480,30.0,60.4,True
0.02,485,30.0,60.3,True
0.02,490,30.0,60.2,True
0.02,495,30.0,60.1,True
0.02,500,30.0,60.0,True
0.03,0,30.0,70.0,True
0.03,5,30.0,69.85,True
0.03,10,30.0,69.7,True
0.03,15,30.0,69.55,True
0.03,20,30.0,69.4,True
0.03,25,30.0,69.25,True
0.03,30,30.0,69.1,True
0.03,35,30.0,68.95,True
0.03,40,30.0,68.8,True
0.03,45,30.0,68.65,True
0.03,50,30.0,68.5,True
0.03,55,30.0,68.35,True
0.03,60,30.0,68.2,True
0.03,65,30.0,68.05,True
0.03,70,30.0,67.9,True
0.03,75,30.0,67.75,True
0.03,80,30.0,67.6,True
0.03,85,30.0,67.45,True
0.03,90,30.0,67.3,True
0.03,95,30.0,67.15,True
0.03,100,30.0,67.0,True
0.03,105,30.0,66.85,True
0.03,110,30.0,66.7,True
0.03,115,30.0,66.55,True
0.03,120,30.0,66.4,True
0.03,125,30.0,66.25,True
0.03,130,30.0,66.1,True
0.03,135,30.0,65.95,True
0.03,140,30.0,65.8,True
0.03,145,30.0,65.65,True
0.03,150,30.0,65.5,True
0.03,155,30.0,65.35,True
0.03,160,30.0,65.2,True
0.03,165,30.0,65.05,True
0.03,170,30.0,64.9,True
0.03,175,30.0,64.75,True
0.03,180,30.0,64.6,True
0.03,185,30.0,64.45,True
0.03,190,30.0,64.3,True
0.03,195,30.0,64.15,True
0.03,200,30.0,64.0,True
0.03,205,30.0,63.85,True
0.03,210,30.0,63.7,True
0.03,215,30.0,63.55,True
0.03,220,30.0,63.4,True
0.03,225,30.0,63.25,True
0.03,230,30.0,63.1,True
0.03,235,30.0,62.95,True
0.03,240,30.0,62.8,True
