firm_id,tender_id,propensity_to_bribe,failure_lambda,eligible_loser,round,regime
T020_F5,20,0.625,0.1656312625250501,True,1,Pre-reform
T021_F1,21,0.5,0.16609218436873746,True,1,Pre-reform
T021_F2,21,0.625,0.16655310621242483,True,1,Pre-reform
T021_F3,21,0.5,0.1670140280561122,False,1,Pre-reform
T021_F4,21,0.5,0.1674749498997996,True,1,Pre-reform
T021_F5,21,0.5,0.16793587174348695,True,1,Pre-reform
T022_F1,22,0.5,0.16839679358717435,True,1,Pre-reform
T022_F2,22,0.5,0.1688577154308617,True,1,Pre-reform
T022_F3,22,0.5,0.1693186372745491,False,1,Pre-reform
T022_F4,22,0.625,0.16977955911823647,True,1,Pre-reform
T022_F5,22,0.5,0.17024048096192385,True,1,Pre-reform
T023_F1,23,0.5,0.17070140280561122,True,1,Pre-reform
T023_F2,23,0.5,0.1711623246492986,False,1,Pre-reform
T023_F3,23,0.5,0.17162324649298596,True,1,Pre-reform
T023_F4,23,0.5,0.17208416833667334,True,1,Pre-reform
T023_F5,23,0.625,0.1725450901803607,True,1,Pre-reform
T024_F1,24,0.5,0.17300601202404808,True,1,Pre-reform
T024_F2,24,0.625,0.17346693386773546,True,1,Pre-reform
T024_F3,24,0.5,0.17392785571142283,False,1,Pre-reform
T024_F4,24,0.5,0.17438877755511023,True,1,Pre-reform
T024_F5,24,0.5,0.17484969939879758,True,1,Pre-reform
T025_F1,25,0.5,0.17531062124248498,True,1,Pre-reform
T025_F2,25,0.5,0.17577154308617232,False,1,Pre-reform
T025_F3,25,0.5,0.17623246492985972,True,1,Pre-reform
T025_F4,25,0.625,0.1766933867735471,True,1,Pre-reform
T025_F5,25,0.5,0.17715430861723447,True,1,Pre-reform
T026_F1,26,0.625,0.17761523046092184,True,1,Pre-reform
T026_F2,26,0.5,0.17807615230460921,True,1,Pre-reform
T026_F3,26,0.5,0.1785370741482966,True,1,Pre-reform
T026_F4,26,0.5,0.17899799599198396,False,1,Pre-reform
T026_F5,26,0.5,0.17945891783567133,True,1,Pre-reform
T027_F1,27,0.625,0.1799198396793587,True,1,Pre-reform
T027_F2,27,0.5,0.18038076152304608,False,1,Pre-reform
T027_F3,27,0.5,0.18084168336673345,True,1,Pre-reform
T027_F4,27,0.5,0.18130260521042083,True,1,Pre-reform
T027_F5,27,0.5,0.1817635270541082,True,1,Pre-reform
T028_F1,28,0.625,0.1822244488977956,True,1,Pre-reform
T028_F2,28,0.5,0.18268537074148294,False,1,Pre-reform
T028_F3,28,0.5,0.18314629258517034,True,1,Pre-reform
T028_F4,28,0.5,0.1836072144288577,True,1,Pre-reform
T028_F5,28,0.5,0.1840681362725451,True,1,Pre-reform
T029_F1,29,0.5,0.18452905811623246,False,1,Pre-reform
T029_F2,29,0.5,0.18498997995991984,True,1,Pre-reform
T029_F3,29,0.5,0.1854509018036072,True,1,Pre-reform
T029_F4,29,0.5,0.18591182364729458,True,1,Pre-reform
T029_F5,29,0.625,0.18637274549098196,True,1,Pre-reform
T030_F1,30,0.5,0.18683366733466933,True,1,Pre-reform
T030_F2,30,0.625,0.1872945891783567,True,1,Pre-reform
T030_F3,30,0.5,0.18775551102204407,False,1,Pre-reform
