policy,p,sanction,institutional_cost,distorted_awards,public_value,net_public_value
Optimal policy,0.2,100,90.0,0,8197.046436923185,8107.046436923185
Best clean policy,0.2,100,90.0,0,8197.046436923185,8107.046436923185
Cheapest clean policy,0.2,100,90.0,0,8197.046436923185,8107.046436923185
Best corrupt policy,0.0,0,0.0,100,5653.878725891113,5653.878725891113
Baseline,0.1,100,60.0,100,5653.878725891113,5593.878725891113
No control,0.0,0,0.0,100,5653.878725891113,5653.878725891113
